"Name","Position","Position In Class","Number","Class","StartPos","StartPosInClass","GapToAhead","GapToAheadInClass","Gap to P1","Gap to P1 In Class","Total Laps","Total Time","Best Lap","Best Lap time","Best Speed","Average Speed","Total Distance","Total Pit Stops"
"Alexander Blake [SE]","1","1","33","Sprint Series","7","7","","","","0","8","517.039","8","62.473","37.975","36.707","5.272","0"
"James Bratton","2","2","54","Sprint Series","1","1","0.068","","0.068","0 Laps","8","505.695","8","62.541","37.934","37.531","5.272","0"
"Denis Shakhovskii","3","3","42","Sprint Series","20","20","0.163","","0.231","16.237","8","533.276","7","62.704","37.835","35.59","5.272","0"
"Brett Lopinsky","4","4","30","Sprint Series","2","2","0.119","","0.350","0 Laps","8","505.603","7","62.823","37.763","37.538","5.272","0"
"Jacob Abrams","5","5","26","Sprint Series","6","6","0.047","","0.397","0 Laps","8","512.74","7","62.87","37.735","37.015","5.272","0"
"Emerson Thieman [SE]","6","6","48","Sprint Series","23","23","0.006","","0.403","22.709","8","539.748","5","62.876","37.731","35.163","5.272","0"
"Jack McNeel","7","7","43","Sprint Series","16","16","0.062","","0.465","14.167","8","531.206","6","62.938","37.694","35.729","5.272","0"
"Vince Azua","8","8","45","Sprint Series","11","11","0.069","","0.534","5.475","8","522.514","6","63.007","37.653","36.323","5.272","0"
"Frank Chen [SE]","9","9","51","Sprint Series","28","28","0.129","","0.663","1 Lap","7","488.436","7","63.136","37.576","34.0","4.613","0"
"Nick Rajewski [SE]","10","10","35","Sprint Series","14","14","0.157","","0.820","15.096","8","532.135","7","63.293","37.483","35.666","5.272","0"
"Nicholas Descamps [SE]","11","11","22","Sprint Series","4","4","0.030","","0.850","0 Laps","8","516.797","8","63.323","37.465","36.725","5.272","0"
"Connor Hicks [SE]","12","12","53","Sprint Series","15","15","0.106","","0.956","17.631","8","534.67","7","63.429","37.402","35.497","5.272","0"
"Sophia Rubio [SE]","13","13","47","Sprint Series","21","21","0.076","","1.032","1 Lap","7","481.898","4","63.505","37.358","34.461","4.613","0"
"Tyler Carlson [SE]","14","14","24","Sprint Series","26","26","0.028","","1.060","1 Lap","7","487.1","1","63.533","37.341","34.093","4.613","0"
"Camila Rubio [SE]","15","15","41","Sprint Series","12","12","0.028","","1.088","12.035","8","529.074","7","63.561","37.325","35.872","5.272","0"
"David Turner [SE]","16","16","59","Sprint Series","9","9","0.018","","1.106","8.802","8","525.841","6","63.579","37.314","36.093","5.272","0"
"Luca Zambello [SE]","17","17","36","Sprint Series","25","25","0.019","","1.125","1 Lap","7","488.044","2","63.598","37.303","34.027","4.613","0"
"Michael Collins","18","18","50","Sprint Series","18","18","0.151","","1.276","24.367","8","541.406","5","63.749","37.215","35.055","5.272","0"
"Richard Cascarano [SE]","19","19","31","Sprint Series","5","5","0.027","","1.303","8.492","8","525.531","4","63.776","37.199","36.114","5.272","0"
"Amber Garcia [SE]","20","20","20","Sprint Series","13","13","0.010","","1.313","15.439","8","532.478","4","63.786","37.193","35.643","5.272","0"
"Mike Gonzales","21","21","39","Sprint Series","22","22","0.035","","1.348","1 Lap","7","481.292","2","63.821","37.173","34.505","4.613","0"
"Brian Vidales [SE]","22","22","23","Sprint Series","19","19","0.047","","1.395","24.675","8","541.714","8","63.868","37.145","35.035","5.272","0"
"Paul Wagner","23","23","44","Sprint Series","27","27","0.020","","1.415","1 Lap","7","491.34","6","63.888","37.134","33.799","4.613","0"
"Raul Chacon [SE]","24","24","27","Sprint Series","24","24","0.025","","1.440","1 Lap","7","486.054","5","63.913","37.119","34.167","4.613","0"
"Gregory Csik [SE]","25","25","37","Sprint Series","10","10","0.039","","1.479","14.975","8","532.014","6","63.952","37.097","35.674","5.272","0"
"Edmundo Quezada [SE]","26","26","57","Sprint Series","17","17","0.101","","1.580","24.255","8","541.294","1","64.053","37.038","35.063","5.272","0"
"Mitch Thieman [SE]","27","27","38","Sprint Series","8","8","0.037","","1.617","10.025","8","527.064","1","64.09","37.017","36.009","5.272","0"
"Nathaniel Small","28","28","40","Sprint Series","29","29","0.021","","1.638","1 Lap","7","496.272","6","64.111","37.005","33.463","4.613","0"
"Pablo de la Hoya [SE]","29","29","32","Sprint Series","3","3","1.540","","3.178","2 Laps","6","445.499","2","65.651","36.137","31.952","3.954","0"
"Scott Gustafsson [SE]","30","30","49","Sprint Series","30","30","1.142","","4.320","7.863","7","524.902","7","66.793","35.519","31.638","4.613","0"
