"Name","Position","Position In Class","Number","Class","StartPos","StartPosInClass","GapToAhead","GapToAheadInClass","Gap to P1","Gap to P1 In Class","Total Laps","Total Time","Best Lap","Best Lap time","Best Speed","Average Speed","Total Distance","Total Pit Stops"
"Joey Andrews","1","1","53","Sprint Series","3","3","","","","0","8","522.384","6","62.694","34.643","33.261","4.8264","0"
"Jack McNeel","2","2","57","Sprint Series","13","13","0.014","","0.014","0 Laps","8","521.834","2","62.708","34.635","33.296","4.8264","0"
"Frank Chen","3","3","30","Sprint Series","29","29","0.076","","0.090","1 Lap","7","483.853","5","62.784","34.593","31.421","4.2231","0"
"Brett Lopinsky","4","4","47","Sprint Series","20","20","0.056","","0.146","10.47","8","532.854","7","62.84","34.562","32.608","4.8264","0"
"Ken Hackman","5","5","54","Sprint Series","8","8","0.001","","0.147","0 Laps","8","517.957","7","62.841","34.562","33.545","4.8264","0"
"Mike Chen","6","6","41","Sprint Series","11","11","0.029","","0.176","0 Laps","8","521.666","7","62.87","34.546","33.307","4.8264","0"
"Chris Fox","7","7","48","Sprint Series","7","7","0.029","","0.205","0 Laps","8","521.534","3","62.899","34.53","33.315","4.8264","0"
"Leo Ovtcharov","8","8","21","Sprint Series","1","1","0.036","","0.241","0 Laps","8","507.168","8","62.935","34.51","34.259","4.8264","0"
"James Lieser","9","9","22","Sprint Series","24","24","0.009","","0.250","17.137","8","539.521","5","62.944","34.505","32.205","4.8264","0"
"Emerson Thieman","10","10","44","Sprint Series","23","23","0.098","","0.348","18.088","8","540.472","5","63.042","34.451","32.148","4.8264","0"
"Jacob Reis","11","11","51","Sprint Series","27","27","0.022","","0.370","1 Lap","7","480.262","7","63.064","34.439","31.656","4.2231","0"
"Jacob Abrams","12","12","34","Sprint Series","17","17","0.047","","0.417","9.358","8","531.742","5","63.111","34.414","32.676","4.8264","0"
"Albert Yeh","13","13","59","Sprint Series","9","9","0.063","","0.480","0 Laps","8","521.339","4","63.174","34.379","33.328","4.8264","0"
"Ivan Martinez","14","14","28","Sprint Series","28","28","0.050","","0.530","1 Lap","7","485.54","6","63.224","34.352","31.312","4.2231","0"
"Derek Borunda","15","15","36","Sprint Series","4","4","0.042","","0.572","0 Laps","8","517.697","7","63.266","34.329","33.562","4.8264","0"
"Lee Povey [SE]","16","16","40","Sprint Series","22","22","0.025","","0.597","18.903","8","541.287","2","63.291","34.316","32.099","4.8264","0"
"Denis Shakhovskii","17","17","25","Sprint Series","14","14","0.028","","0.625","7.996","8","530.38","7","63.319","34.301","32.76","4.8264","0"
"Luca Zambello [SE]","18","18","26","Sprint Series","2","2","0.079","","0.704","0 Laps","8","516.775","7","63.398","34.258","33.622","4.8264","0"
"Vince Azua","19","19","39","Sprint Series","21","21","0.005","","0.709","18.296","8","540.68","8","63.403","34.255","32.136","4.8264","0"
"Jeremy Aldridge","20","20","45","Sprint Series","12","12","0.036","","0.745","18.727","8","541.111","6","63.439","34.236","32.11","4.8264","0"
"Connor Hicks","21","21","56","Sprint Series","25","25","0.059","","0.804","1 Lap","7","481.864","7","63.498","34.204","31.551","4.2231","0"
"Alexander Blake","22","22","52","Sprint Series","15","15","0.004","","0.808","11.267","8","533.651","7","63.502","34.202","32.559","4.8264","0"
"Paul Wagner","23","23","55","Sprint Series","26","26","0.074","","0.882","1 Lap","7","486.504","6","63.576","34.162","31.25","4.2231","0"
"Oleg Glushkov","24","24","29","Sprint Series","5","5","0.134","","1.016","7.054","8","529.438","7","63.71","34.09","32.818","4.8264","0"
"Ethan Chen","25","25","37","Sprint Series","18","18","0.064","","1.080","19.366","8","541.75","6","63.774","34.056","32.072","4.8264","0"
"Robert Hernandez","26","26","27","Sprint Series","10","10","0.130","","1.210","7.998","8","530.382","6","63.904","33.987","32.759","4.8264","0"
"Nathaniel Small","27","27","31","Sprint Series","16","16","0.198","","1.408","19.772","8","542.156","2","64.102","33.882","32.048","4.8264","0"
"Brian Vidales [SE]","28","28","35","Sprint Series","6","6","0.040","","1.448","5.33","8","527.714","2","64.142","33.86","32.925","4.8264","0"
"Nick Rajewski [SE]","29","29","32","Sprint Series","19","19","0.315","","1.763","1 Lap","7","484.147","4","64.457","33.695","31.402","4.2231","0"
